relativ url;event titel;Fråga/KPI;Action;Template
/en/content/categories/culture/national-day/events/czech-independent-state-day.html;Czech Independent State Day;What should visitors check?;;
/en/content/categories/culture/national-day/events/czech-independent-state-day.html;Czech Independent State Day;When is the event?;;
/en/content/categories/culture/national-day/events/czech-independent-state-day.html;Czech Independent State Day;Where is it held?;;
/en/content/categories/culture/national-day/events/czech-independent-state-day.html;Czech Independent State Day;Why is 28 Oct important?;;
/en/content/categories/culture/national-day/events/day-of-german-unity.html;Day of German Unity;Do I need tickets?;Remove;
/en/content/categories/culture/national-day/events/day-of-german-unity.html;Day of German Unity;What do people do?;;
/en/content/categories/culture/national-day/events/day-of-german-unity.html;Day of German Unity;What is new this year?;;
/en/content/categories/culture/national-day/events/day-of-german-unity.html;Day of German Unity;What should visitors check?;;
/en/content/categories/culture/national-day/events/day-of-german-unity.html;Day of German Unity;When is the event?;;
/en/content/categories/culture/national-day/events/day-of-german-unity.html;Day of German Unity;Where is it held?;;
/en/content/categories/culture/national-day/events/day-of-german-unity.html;Day of German Unity;Why is 3 Oct important?;;
/en/content/categories/culture/national-day/events/denmark-constitution-day.html;Denmark Constitution Day;Do I need tickets?;Remove;
/en/content/categories/culture/national-day/events/denmark-constitution-day.html;Denmark Constitution Day;What do people do?;;
/en/content/categories/culture/national-day/events/denmark-constitution-day.html;Denmark Constitution Day;What is new this year?;;
/en/content/categories/culture/national-day/events/denmark-constitution-day.html;Denmark Constitution Day;What should visitors check?;;
/en/content/categories/culture/national-day/events/denmark-constitution-day.html;Denmark Constitution Day;When is the event?;;
/en/content/categories/culture/national-day/events/denmark-constitution-day.html;Denmark Constitution Day;Where is it held?;;
/en/content/categories/culture/national-day/events/denmark-constitution-day.html;Denmark Constitution Day;Why is 5 Jun important?;;
/en/content/categories/culture/national-day/events/estonia-independence-day.html;Estonia Independence Day;Do I need tickets?;Remove;
/en/content/categories/culture/national-day/events/estonia-independence-day.html;Estonia Independence Day;What do people do?;;
/en/content/categories/culture/national-day/events/estonia-independence-day.html;Estonia Independence Day;What is new this year?;;
/en/content/categories/culture/national-day/events/estonia-independence-day.html;Estonia Independence Day;What should visitors check?;;
/en/content/categories/culture/national-day/events/estonia-independence-day.html;Estonia Independence Day;When is the event?;;
/en/content/categories/culture/national-day/events/estonia-independence-day.html;Estonia Independence Day;Where is it held?;;
/en/content/categories/culture/national-day/events/estonia-independence-day.html;Estonia Independence Day;Why is 24 Feb important?;;
/en/content/categories/culture/national-day/events/festa-della-repubblica.html;Festa della Repubblica;Do I need tickets?;Remove;
/en/content/categories/culture/national-day/events/festa-della-repubblica.html;Festa della Repubblica;What do people do?;;
/en/content/categories/culture/national-day/events/festa-della-repubblica.html;Festa della Repubblica;What is new this year?;;
/en/content/categories/culture/national-day/events/festa-della-repubblica.html;Festa della Repubblica;What should visitors check?;;
/en/content/categories/culture/national-day/events/festa-della-repubblica.html;Festa della Repubblica;When is the event?;;
/en/content/categories/culture/national-day/events/festa-della-repubblica.html;Festa della Repubblica;Where is it held?;;
/en/content/categories/culture/national-day/events/festa-della-repubblica.html;Festa della Repubblica;Why is 2 Jun important?;;
/en/content/categories/culture/national-day/events/fiji-day.html;Fiji Day;How do I buy tickets?;Remove;
/en/content/categories/culture/national-day/events/fiji-day.html;Fiji Day;How do I get there?;Remove;
/en/content/categories/culture/national-day/events/fiji-day.html;Fiji Day;What is new this year?;;
/en/content/categories/culture/national-day/events/fiji-day.html;Fiji Day;What is the schedule?;;
/en/content/categories/culture/national-day/events/fiji-day.html;Fiji Day;When is the event?;;
/en/content/categories/culture/national-day/events/fiji-day.html;Fiji Day;Where is it held?;;
/en/content/categories/culture/national-day/events/finland-independence-day.html;Finland Independence Day;Do I need tickets?;Remove;
/en/content/categories/culture/national-day/events/finland-independence-day.html;Finland Independence Day;What do people do?;;
